"CustomerKey","Quarter","Products","BasketSize","BasketValue"
11001,"2016-01","Fund Manager+",109,1146.1649007369979
11004,"2016-01","P+B Investment",106,1996.5461247422763
11005,"2016-01","Private Investment",105,860.3953159306957
11011,"2016-01","Gold Investment",101,1184.5070772384815
11012,"2016-01","Private Investment",106,799.060887738351
11013,"2016-01","Private Investment",103,1180.3115634848602
11016,"2016-01","P+B Investment",92,1647.6950816968429
11022,"2016-01","Fund Manager+",2,690.214726613296
11023,"2016-01","Private Investment",82,912.7187903976766
11026,"2016-01","Fund Manager+",4,475.9374493985593
11028,"2016-01","Gold Investment",4,309.21738121984396
11029,"2016-01","Private Investment",90,1747.0023282025072
11030,"2016-01","Private Investment",3,193.87279818893927
11031,"2016-01","Fund Manager+",4,315.91467022314913
11033,"2016-01","Gold Investment",5,467.31661265932485
11034,"2016-01","Private Investment",4,212.98392469404274
11035,"2016-01","CO Investment",9,111.39358830721235
11036,"2016-01","Private Investment",10,62.63110496132654
11039,"2016-01","Fund Manager+",108,1964.9185765065586
11042,"2016-01","Private Investment",98,1729.916346816528
11043,"2016-01","P+B Investment",7,447.4681203989596
11044,"2016-01","Gold Investment",5,786.2891270632387
11047,"2016-01","P+B Investment",4,476.5347875064229
11048,"2016-01","Private Investment",3,421.94343831737086
11049,"2016-01","Fund Manager+",1,438.2487965990318
11051,"2016-01","Private Investment",84,1870.3101189444699
11054,"2016-01","Private Investment",88,2005.6486682857353
11055,"2016-01","Gold Investment",99,2041.8029592264118
11056,"2016-01","Gold Investment",3,521.2038846311993
11057,"2016-01","P+B Investment",121,1476.559612878063
11059,"2016-01","Private Investment",99,999.32197962809
11061,"2016-01","P+B Investment",89,903.4076671544249
11066,"2016-01","Private Investment",98,2160.386689134626
11070,"2016-01","P+B Investment",109,1611.3376564682371
11072,"2016-01","Private Investment",104,1794.9832463554826
11078,"2016-01","CO Investment",82,852.1789363022525
11079,"2016-01","P+B Investment",101,1083.4499549225516
11080,"2016-01","Fund Manager+",42,1507.4434464335695
11083,"2016-01","P+B Investment",27,1419.274921707849
11084,"2016-01","P+B Investment",105,1737.297269654047
11085,"2016-01","Gold Investment",42,1383.765113623053
11086,"2016-01","Private Investment",90,822.1108904938079
11088,"2016-01","Gold Investment",7,758.4516021715212
11089,"2016-01","Fund Manager+",110,1954.1936390823123
11090,"2016-01","Gold Investment",2,338.08246787626604
11092,"2016-01","P+B Investment",7,540.9056866634148
11094,"2016-01","P+B Investment",1,430.10602739828363
11095,"2016-01","Private Investment",91,1542.7986595367654
11097,"2016-01","CO Investment",92,1466.7194912070406
11098,"2016-01","Gold Investment",102,1521.3890780398851
11099,"2016-01","P+B Investment",102,1501.9286043731788
11103,"2016-01","P+B Investment",6,762.6976831404874
11105,"2016-01","Gold Investment",2,451.2359481886336
11107,"2016-01","Gold Investment",5,690.8549966620589
11110,"2016-01","Gold Investment",2,684.5738959727911
11113,"2016-01","Private Investment",6,475.2942136392103
11120,"2016-01","Private Investment",2,551.9482437407538
11121,"2016-01","P+B Investment",2,696.2091110218477
11122,"2016-01","Fund Manager+",3,758.6868808146975
11123,"2016-01","Gold Investment",114,1500.656166668598
11124,"2016-01","Private Investment",83,1281.8432899913546
11127,"2016-01","P+B Investment",105,1345.9991369286913
11128,"2016-01","Private Investment",81,1797.5153229444772
11129,"2016-01","Gold Investment",10,385.96961617047623
11130,"2016-01","P+B Investment",80,2097.0143829903836
11131,"2016-01","Private Investment",9,480.22708279251435
11132,"2016-01","P+B Investment",106,2066.0186344107624
11133,"2016-01","CO Investment",104,1347.4139910763147
11135,"2016-01","P+B Investment",85,1138.4188010945059
11136,"2016-01","P+B Investment",108,2053.2445507851244
11137,"2016-01","Private Investment",87,1436.0045814131065
11139,"2016-01","Gold Investment",98,2117.075284829698
11153,"2016-01","Fund Manager+",124,966.4768355784049
11156,"2016-01","Fund Manager+",103,1981.535126133082
11157,"2016-01","Fund Manager+",109,1195.5311374764449
11158,"2016-01","P+B Investment",102,1358.048313423286
11160,"2016-01","CO Investment",89,2188.5101869304845
11161,"2016-01","P+B Investment",7,526.6466289050621
11163,"2016-01","Private Investment",125,1801.4775936332835
11165,"2016-01","Private Investment",114,1054.2931278827766
11166,"2016-01","Private Investment",91,922.2765981639527
11167,"2016-01","P+B Investment",6,679.1319582960557
11172,"2016-01","P+B Investment",6,681.122723188354
11173,"2016-01","Gold Investment",95,1752.5868865304237
11174,"2016-01","Private Investment",96,1863.4397318376682
11175,"2016-01","Fund Manager+",106,1620.352096022419
11176,"2016-01","Gold Investment",31,1295.2600979008146
11178,"2016-01","Fund Manager+",3,587.8664291074722
11179,"2016-01","Gold Investment",25,1547.1447496260835
11180,"2016-01","Fund Manager+",29,1557.1748594929581
11182,"2016-01","Fund Manager+",98,1171.3824440565375
11183,"2016-01","CO Investment",36,1221.7907978321425
11184,"2016-01","P+B Investment",98,1978.2462193930455
11185,"2016-01","Fund Manager+",100,717.9339006771567
11189,"2016-01","Gold Investment",99,1407.014490340034
11190,"2016-01","Private Investment",23,1275.832523491234
11191,"2016-01","Fund Manager+",103,1337.6807792527575
11193,"2016-01","Private Investment",102,1295.1241107186274
11195,"2016-01","Private Investment",94,1041.9621216268165
11199,"2016-01","Gold Investment",106,1589.1143292148697
11200,"2016-01","Fund Manager+",100,812.7171117752548
11204,"2016-01","Private Investment",104,1707.3621756870682
11206,"2016-01","Gold Investment",98,1157.6663452751995
11208,"2016-01","P+B Investment",93,1427.824326597191
11211,"2016-01","Fund Manager+",101,1935.4301445588233
11213,"2016-01","Gold Investment",109,898.5191235578202
11214,"2016-01","P+B Investment",7,602.7916352561951
11215,"2016-01","P+B Investment",106,1008.2205941233246
11216,"2016-01","Gold Investment",80,1390.9830081483433
11217,"2016-01","Fund Manager+",110,1376.741042078334
11218,"2016-01","Gold Investment",1,435.4957739770843
11222,"2016-01","Gold Investment",5,297.52920167236
11223,"2016-01","Fund Manager+",2,702.5385618985829
11226,"2016-01","P+B Investment",87,2031.8543576266882
11227,"2016-01","Private Investment",5,452.64124785272145
11228,"2016-01","Private Investment",2,464.5662274677111
11229,"2016-01","P+B Investment",102,1580.6622226346678
11231,"2016-01","Private Investment",94,1830.852577455223
11232,"2016-01","Private Investment",4,171.8213710943902
11233,"2016-01","Fund Manager+",6,372.5979694310281
11234,"2016-01","Gold Investment",4,189.29231305403465
11235,"2016-01","Private Investment",88,1517.3887419994485
11238,"2016-01","Private Investment",8,281.123060260542
11240,"2016-01","P+B Investment",7,441.0770138310382
11242,"2016-01","Private Investment",5,678.7827037680747
11243,"2016-01","CO Investment",7,297.3638000029059
11244,"2016-01","Fund Manager+",4,665.9518592369208
11248,"2016-01","Fund Manager+",2,427.1123118488452
11249,"2016-01","P+B Investment",97,1466.586843603549
11253,"2016-01","Fund Manager+",100,1351.9254714085412
11255,"2016-01","P+B Investment",44,1595.3070392796653
11256,"2016-01","P+B Investment",28,1007.8915868683962
11257,"2016-01","Fund Manager+",43,703.9138500046766
11258,"2016-01","P+B Investment",3,776.447069366587
11260,"2016-01","Fund Manager+",34,953.4511190115613
11264,"2016-01","Private Investment",97,872.9274499279886
11265,"2016-01","Gold Investment",6,673.4233491431406
11266,"2016-01","Fund Manager+",6,688.9985982680207
11268,"2016-01","P+B Investment",45,1226.8155626050698
11269,"2016-01","CO Investment",4,571.5334585829173
11270,"2016-01","P+B Investment",39,1414.4013712350036
11271,"2016-01","P+B Investment",3,215.80149441985145
11277,"2016-01","P+B Investment",1,747.5691599695009
11282,"2016-01","Private Investment",5,657.8221644532002
11283,"2016-01","P+B Investment",98,1208.9930262034022
11285,"2016-01","Fund Manager+",5,732.5158810314493
11286,"2016-01","Fund Manager+",8,590.9866886617382
11290,"2016-01","P+B Investment",31,862.0400992144074
11291,"2016-01","Private Investment",4,421.1530747486457
11293,"2016-01","Gold Investment",107,703.6284749978951
11295,"2016-01","Private Investment",83,1042.0399088818083
11296,"2016-01","Private Investment",22,942.8371141297303
11299,"2016-01","P+B Investment",24,784.2708406762896
11301,"2016-01","Fund Manager+",4,422.85582536048366
11302,"2016-01","Gold Investment",87,1625.5561723796104
11305,"2016-01","P+B Investment",4,773.5642661895891
11307,"2016-01","Private Investment",2,225.8748799420427
11308,"2016-01","Private Investment",115,1392.645590541622
11313,"2016-01","Private Investment",104,897.3132905775961
11315,"2016-01","P+B Investment",35,735.1327789127214
11316,"2016-01","Private Investment",33,1376.311149590938
11318,"2016-01","Private Investment",40,1143.4351196201765
11319,"2016-01","P+B Investment",30,1493.928699165625
11322,"2016-01","Fund Manager+",44,992.4464426065513
11323,"2016-01","CO Investment",2,454.94633207263166
11325,"2016-01","P+B Investment",25,995.4127007960133
11327,"2016-01","Fund Manager+",96,1690.0612231660475
11331,"2016-01","Fund Manager+",42,950.7781891752991
11332,"2016-01","P+B Investment",110,1904.2799563573262
11333,"2016-01","Gold Investment",7,468.15803752706125
11336,"2016-01","Fund Manager+",40,1067.3741125093973
11337,"2016-01","Private Investment",91,1438.8971048855915
11338,"2016-01","Fund Manager+",93,918.8880020438211
11339,"2016-01","Gold Investment",25,1103.423636194538
11340,"2016-01","P+B Investment",100,980.5221248266068
11341,"2016-01","Private Investment",5,716.7125017187338
11342,"2016-01","P+B Investment",7,252.84235795254074
11344,"2016-01","Gold Investment",41,664.5367790180466
11345,"2016-01","P+B Investment",109,1623.9269060618599
11346,"2016-01","CO Investment",7,585.0032233512773
11347,"2016-01","Private Investment",3,213.52918398405944
11348,"2016-01","Gold Investment",101,1022.864958989882
11349,"2016-01","CO Investment",108,1087.5232662794112
11353,"2016-01","Gold Investment",82,2053.2216623661143
11358,"2016-01","Private Investment",101,1512.382640490709
11359,"2016-01","Gold Investment",100,1971.9135911485148
11363,"2016-01","CO Investment",102,1810.577993844267
11364,"2016-01","Private Investment",4,559.0293610501573
11365,"2016-01","Gold Investment",2,728.6303978140031
11369,"2016-01","P+B Investment",108,1601.5766361832393
11371,"2016-01","P+B Investment",30,723.7500842909224
11374,"2016-01","P+B Investment",86,1472.813992846562
11375,"2016-01","P+B Investment",108,934.5987267130179
11376,"2016-01","Private Investment",107,1161.56912825346
11378,"2016-01","Fund Manager+",40,1116.9048944024962
11382,"2016-01","P+B Investment",31,1055.0400852742614
11383,"2016-01","Fund Manager+",87,1444.5544194556219
11384,"2016-01","P+B Investment",1,209.34786035194688
11387,"2016-01","Gold Investment",3,399.89120989695033
11388,"2016-01","Private Investment",3,277.7496882530156
11390,"2016-01","P+B Investment",6,617.842512149365
11394,"2016-01","Gold Investment",7,775.4333372361496
11395,"2016-01","Fund Manager+",43,996.1255877738097
11396,"2016-01","Fund Manager+",99,951.8692461518405
11400,"2016-01","P+B Investment",91,1000.3465104319289
11403,"2016-01","P+B Investment",2,472.1734941634632
11404,"2016-01","Private Investment",3,739.1879488563159
11406,"2016-01","Fund Manager+",8,390.4686646015054
11409,"2016-01","P+B Investment",6,438.9110664255629
11410,"2016-01","Private Investment",124,876.1315479981528
11411,"2016-01","Private Investment",96,1167.0049660178586
11412,"2016-01","Gold Investment",7,293.4219095012812
11413,"2016-01","Fund Manager+",108,734.3015827862355
11415,"2016-01","Fund Manager+",103,1069.054781498803
11416,"2016-01","Fund Manager+",104,1168.7288501855487
11420,"2016-01","Private Investment",84,1256.5480687712063
11421,"2016-01","P+B Investment",98,946.7074686775235
11426,"2016-01","Gold Investment",92,733.4325742121437
11432,"2016-01","Private Investment",105,1848.5472269626898
11435,"2016-01","Gold Investment",113,1751.2456986113425
11438,"2016-01","P+B Investment",13,520.4958576437759
11441,"2016-01","Private Investment",101,1143.601425726381
11442,"2016-01","Fund Manager+",111,1380.4497386159264
11443,"2016-01","P+B Investment",125,835.7199178162975
11445,"2016-01","Gold Investment",86,954.732692869036
11446,"2016-01","CO Investment",105,1637.2095809098923
11450,"2016-01","Private Investment",9,349.3422730369955
11451,"2016-01","P+B Investment",96,1981.0674002294422
11452,"2016-01","Private Investment",6,81.62604516902609
11454,"2016-01","Fund Manager+",9,305.3663233340483
11455,"2016-01","Fund Manager+",93,903.5210699346072
11456,"2016-01","P+B Investment",13,484.0792766145561
11457,"2016-01","Private Investment",5,354.7587796904625
11458,"2016-01","Private Investment",93,952.7633834769779
11460,"2016-01","Gold Investment",94,1858.786088538488
11466,"2016-01","Fund Manager+",116,1322.1826860524059
11469,"2016-01","P+B Investment",93,1392.4887542244367
11471,"2016-01","Gold Investment",95,1720.794458044156
11473,"2016-01","Private Investment",119,955.9011021269798
11475,"2016-01","P+B Investment",7,79.71551799376441
11476,"2016-01","Fund Manager+",10,356.68907740121836
11478,"2016-01","Private Investment",4,228.3833603431396
11481,"2016-01","Fund Manager+",2,68.02837108557141
11482,"2016-01","Gold Investment",7,592.981343925162
11484,"2016-01","Private Investment",14,66.62279526012671
11485,"2016-01","P+B Investment",3,794.9029204864562
11486,"2016-01","P+B Investment",8,246.84354028241486
11489,"2016-01","Private Investment",1,376.6983085588804
11490,"2016-01","P+B Investment",32,1583.6678989150573
11493,"2016-01","Gold Investment",107,1124.8893489905258
11494,"2016-01","Private Investment",43,1356.3616391294124
11495,"2016-01","Gold Investment",26,1094.5057758183161
11496,"2016-01","Fund Manager+",109,1632.1402289453113
11498,"2016-01","Private Investment",103,909.4868415050403
11499,"2016-01","P+B Investment",109,1164.4249339465036
11503,"2016-01","P+B Investment",5,756.7786623839894
11504,"2016-01","Private Investment",7,563.7076788063371
11507,"2016-01","P+B Investment",8,597.785895902449
11509,"2016-01","P+B Investment",1,577.9448176104819
11511,"2016-01","Gold Investment",1,174.9097438465547
11512,"2016-01","P+B Investment",4,474.5246135977088
11515,"2016-01","Private Investment",2,303.2785130088231
11516,"2016-01","Private Investment",5,488.6518099367596
11521,"2016-01","P+B Investment",32,1402.986664806716
11523,"2016-01","P+B Investment",33,1575.1825855139653
11524,"2016-01","Private Investment",38,896.1453125410881
11525,"2016-01","Gold Investment",32,1230.211783579307
11528,"2016-01","Gold Investment",110,879.4789830861994
11530,"2016-01","Gold Investment",95,1765.4398626451343
11531,"2016-01","Private Investment",101,1279.9840579636789
11533,"2016-01","Fund Manager+",103,1697.3272672893281
11534,"2016-01","Gold Investment",108,2092.7562494253807
11537,"2016-01","Private Investment",4,301.3979389483882
11541,"2016-01","Private Investment",111,1621.693453329975
11544,"2016-01","Private Investment",107,1387.2073073426807
11545,"2016-01","Gold Investment",93,1564.984169861278
11549,"2016-01","Gold Investment",11,546.4072269429573
11552,"2016-01","Fund Manager+",92,1735.4769357585499
